Application ID,Application Name,Duration (Sec),Total Input,Total Output,Driver Cores,Driver Memory,Executor Cores,Executor Memory,Executor Overhead Memory,Requested Executors,Max Active Executors,Total Cores Capacity,Total Memory Capacity,Avg Idle Cores (%),Peak Memory Usage (%),Peak Heap Usage,Total Shuffle Read,Total Shuffle Write,Max Shuffle Read (Stage),Max Shuffle Read Stage ID,Max Shuffle Write (Stage),Max Shuffle Write Stage ID,Max Shuffle Read (Job),Max Shuffle Read Job ID,Max Shuffle Write (Job),Max Shuffle Write Job ID,Total Spill (Memory),Total Spill (Disk),Max Spill Memory (Stage),Max Spill Stage ID
application_1758091571353_23839449,abt-usermetric_user_coll-2025-11-25-batch---platform-pc---measure_unit-area,735.79,38751875483,52294825538,2,12884901888,4,17179869184,8589934592,80,55,220,1417339207680,33.11,76.56,13152824336,306915773869,306915773869,144524135573,15,144524135573,11,144524135573,9,144524135573,8,447213469696,42479550745,447213469696,20
application_1758091571353_24112291,abt-usermetric_user_coll-2025-11-26-batch---platform-pc---measure_unit-area,514.19,38522302284,52170237079,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,39.68,79.08,13585019288,316321248387,329580219145,141420458609,15,164899905314,11,142463049896,9,166740315370,8,363595825152,34419938967,363595825152,20
application_1758091571353_24451011,abt-usermetric_user_coll-2025-11-27-batch---platform-pc---measure_unit-area,844.25,36896976104,68665039791,2,12884901888,4,17179869184,8589934592,80,41,164,1056561954816,25.81,88.81,15256744064,367319488127,367319488127,183260388425,15,183260388425,11,183260388425,9,183260388425,8,836579098624,79065525189,836579098624,20
application_1758091571353_24792200,abt-usermetric_user_coll-2025-11-28-batch---platform-pc---measure_unit-area,738.68,31903288992,82083951570,2,12884901888,4,17179869184,8589934592,80,67,268,1726576852992,34.14,82.7,14207919712,407572728572,407572728572,214156379808,15,214156379808,11,214156379808,9,214156379808,8,580089020416,55096137935,580089020416,20
application_1758091571353_25133231,abt-usermetric_user_coll-2025-11-29-batch---platform-pc---measure_unit-area,492.29,12549884320,45839120133,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,49.57,79.0,13572573368,210271881670,210271881670,109953525667,15,109953525667,11,109953525667,9,109953525667,8,380909912064,35986429574,380909912064,20
application_1758091571353_25478928,abt-usermetric_user_coll-2025-11-30-batch---platform-pc---measure_unit-area,555.89,12802106344,45862548816,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,53.03,82.03,14091902640,211554782587,211554782587,111224101715,15,111224101715,11,111224101715,9,111224101715,8,346281738240,32406933383,346281738240,20
application_1758091571353_25828327,abt-usermetric_user_coll-2025-12-01-batch---platform-pc---measure_unit-area,801.31,38435195544,104520277009,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,39.12,86.93,14935238440,517123778928,517123778928,279589087059,15,279589087059,11,279589087059,9,279589087059,8,1041529569280,99654129791,1041529569280,20
application_1758091571353_26174343,abt-usermetric_user_coll-2025-12-02-batch---platform-pc---measure_unit-area,885.41,39550568300,107802216871,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,41.41,81.8,14052724888,543615280122,576485782957,284776383576,13,331106672906,9,284776383576,7,333063392097,6,1041529569280,99588869973,1041529569280,18
application_1758091571353_26515875,abt-usermetric_user_coll-2025-12-03-batch---platform-pc---measure_unit-area,797.61,37929604050,112855656246,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,37.1,83.03,14264234744,542104508774,542104508774,292604185372,15,292604185372,11,292604185372,9,292604185372,8,1041529569280,99264218345,1041529569280,20
application_1758091571353_26861325,abt-usermetric_user_coll-2025-12-04-batch---platform-pc---measure_unit-area,685.67,36925013338,75192220389,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,43.73,84.98,14600209936,391446707777,391446707777,198592654671,15,198592654671,11,198592654671,9,198592654671,8,695247831040,65624194328,695247831040,20
application_1758091571353_27208750,abt-usermetric_user_coll-2025-12-05-batch---platform-pc---measure_unit-area,502.82,33811013233,52435602207,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,39.43,78.8,13537765584,315237927856,328326230005,147277975091,15,174130835495,11,147277975091,9,175258935675,8,346281738240,32849303946,346281738240,20
application_1758091571353_27546467,abt-usermetric_user_coll-2025-12-06-batch---platform-pc---measure_unit-area,352.38,13228437079,24392607683,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,57.28,60.9,10463377520,133488674101,135164259563,63309341906,15,62745229032,11,64349540269,9,62745229032,8,0,0,0,0
application_1758091571353_27887057,abt-usermetric_user_coll-2025-12-07-batch---platform-pc---measure_unit-area,332.88,12833930211,23717250332,2,12884901888,4,17179869184,8589934592,80,80,320,2061584302080,60.15,57.3,9844254952,129892235098,129892235098,61710066688,15,61710066688,11,61710066688,9,61710066688,8,0,0,0,0
